t,SP,CV,P1,CVG1,G1,F1,CVG2,G2,dP2,F2,CVG12,G12,L11,L12,L21,L22,L31,L32,F3
0,0.2,0,253.95713404366,0,0.0837308329862959,0.188954669130988,0,-0.339303223480343,252.188746849385,-0.0627559740841142,1,1,0.000357586652355834,-0.000304292865622661,-0.000289489698174079,0.000277645368446296,0.00158940561331165,0.00105784575492744,-0.1939665271302
1,0.2,0,253.820299372493,0,-0.0417337425021276,0.162690516079864,0,-0.134123169267871,252.470308664894,0.0566204163551706,1,1,-0.00109756738466595,0.000118293597395456,0.000307512552894865,0.000591195859468964,-0.000620559525261653,0.00129483280849862,0.96560253850057
2,0.2,0,253.439333984656,0,0.0615673589401654,0.0782180863882102,0,-0.000103770619007287,252.638555618034,0.0517571021172883,1,1,-0.000385667322606904,0.00103892991216268,0.00121559070826973,0.000647285546572685,0.00165045594199286,-0.000323419534378869,1.65673202332154
3,0.2,0,253.717678277587,0,-0.0855078605582087,-0.0111175726993796,0,0.193879326458645,252.565183509583,-0.138761428133539,1,1,0.00471366873636029,0.000940522243105671,0.0015874083977635,0.00231344978072664,0.00132109861445304,0.00219543040676511,2.15208928760209
4,0.2,0,253.635441000345,0,0.070206801819706,0.112128767699466,0,0.00478237974543907,252.331213643336,0.0295403245029722,1,1,0.00295356445335934,0.00221891351765243,0.0023806781341796,0.00335798624403442,0.00255484103541841,0.0032974364351729,2.35360598578868
5,0.2,0,253.122578580277,0,-0.0580048101891564,-0.0728563068279452,0,0.253763118375642,252.609963723165,-0.213731798689995,1,1,0.00391399914957203,0.00230841980518544,0.00380119584103853,0.00407726881039389,0.00657090564269061,0.00608623889794651,2.82523831134235
6,0.2,0,253.434658750404,0,-0.0463999989279207,0.0223916012377769,0,-0.110606338496714,252.351992004258,0.140040903706239,1,1,0.00184696147430722,0.00275059715334615,0.00450657751667185,0.00401351646133857,0.00318445017779726,0.00449500673140089,2.8626150480475
7,0.2,0,253.443931492445,0,0.0853304597300859,-0.0902908473467629,0,-0.136433861909671,253.108025732361,0.0665437573413366,1,1,0.00512464935543181,0.00596689355817024,0.00531395640529693,0.00539404790308758,0.00634324880613061,0.00509301736505912,2.99559123130974
8,0.2,0,253.316204037162,0,-0.0718514705292049,0.00212226450598737,0,-0.390821740389908,252.213049153206,0.1076619645638,1,1,0.00553949883872402,0.00421022578317761,0.00600393031056025,0.00605052732493094,0.00487390316692102,0.005160031318551,3.37117983949238
9,0.2,0,253.310196618483,0,0.0597649412637396,0.0503043429880645,0,0.00649285536308283,252.45469418726,0.174972622587613,1,1,0.0043495927601246,0.00645041919288213,0.00593924794440443,0.006210319119807,0.00557587574792933,0.00590450718506789,3.64534404432968
10,0.2,0,253.741797255255,0,0.0172965648836793,-0.0839868251336857,0,-0.166128404213031,252.84712661032,-0.0361732496637204,1,1,0.00694055205587108,0.00636121985850801,0.00755639309951645,0.006518474640715,0.00677849083750167,0.00687308579822631,3.59943715311156
11,0.2,0,253.937297459019,0,-0.0699749855122961,0.0512023797040297,0,0.217044983914393,253.416930834492,0.219680339950932,1,1,0.0105771602541114,0.00625997567772941,0.00828528298898767,0.00729647236256589,0.0087091308804258,0.00778734920666444,3.91162177959604
12,0.2,0,253.201049429805,0,0.00983140280313927,0.0784221759734993,0,-0.0837281798584422,252.349899982412,0.0152995516414492,1,1,0.00779311825628963,0.00830598925495425,0.00756260165688375,0.00790096018616804,0.00881846318154175,0.0076580307044865,4.06860076856521
13,0.2,0,253.764141232689,0,-0.0451825177076276,-0.088040144910681,0,-0.177386996444825,252.582471691045,-0.09464658468461,1,1,0.00786736094818908,0.00777135649173348,0.00794962672476825,0.00895841120939668,0.0108243453739718,0.00795124924259687,4.00826923674913
14,0.2,0,253.815191665659,0,-0.0738089246437337,0.00888455016308458,0,0.228383502347781,252.329303009312,-0.102903399450043,1,1,0.00710320330017931,0.00826703768642696,0.0089120927879256,0.00932456652937797,0.00973633923869433,0.0084127204532209,4.0749694933251
15,0.2,0,253.115115027858,0,-0.0197241472201481,0.0324055092513303,0,0.0738274978401272,252.867982783995,0.199451516685416,1,1,0.0109696512361701,0.00866267176881947,0.00900563181735078,0.0089552107812679,0.00906516687684553,0.00950823129044236,4.04753933397929
16,0.2,0,253.476771489061,0,0.0106022567117248,0.0674331268562151,0,-0.0502655623370651,252.833342106573,0.221279357892662,1,1,0.0110960875276427,0.00932591749419751,0.00963410749487307,0.0103598346316998,0.0102092307799546,0.0106795757239768,4.63439187979523
17,0.2,0,253.207879071429,0,0.014517043054929,0.102273155488881,0,0.0323092570446355,252.546873834574,-0.159035987846883,1,1,0.00819046083437088,0.00890809888224534,0.0101534562255837,0.00975497535609894,0.0105232403072881,0.00869940515168188,4.1841065552423
18,0.2,0,253.300400175063,0,-0.0603802342304649,-0.00480956912177699,0,-0.0896374792344935,253.002702641229,0.128832644589006,1,1,0.0134925449702027,0.0113246743691665,0.0103784151825913,0.00998239267424574,0.0131146768894622,0.0101872180033473,4.35503185442811
19,0.2,0,253.422956477492,0,0.0670306237489706,0.0603738815833439,0,-0.093801537353179,252.14784398034,0.176628325203988,1,1,0.0114658028291093,0.010619338020085,0.0107626376934235,0.011018963513509,0.0154679569213748,0.0114061239498878,4.26905766091985
20,0.2,0,253.686582408391,0,-0.0870677134908196,0.174433737715585,0,0.11424659832747,252.594064730263,-0.103906045558697,1,1,0.0154375082509418,0.0109613145395436,0.0115502129645561,0.0110838829216844,0.0136253824876106,0.0112375830412105,4.69259980382352
21,0.2,0,253.772368247042,0,0.0626501568872238,-0.0758208291799926,0,0.131433169036511,252.680545637697,-0.0679986724786549,1,1,0.0108735928606198,0.0119834441499525,0.0117387881594086,0.0108062836986362,0.0116269462496011,0.0115673378682316,4.67809545667096
22,0.2,0,253.382188378147,0,0.0311584517519152,-0.0290332094080168,0,0.00390562101808127,252.501416551522,0.30038697134946,1,1,0.0125631155301738,0.0119280534105648,0.0110922302911984,0.0118666664636682,0.0124283747538625,0.0122713949453398,4.75874121946693
23,0.2,0,253.650715916653,0,-0.03166712756668,-0.0578091401570235,0,-0.107854097312246,252.969184375951,-0.207914628020214,1,1,0.0114651401336923,0.011941171237246,0.0120921372635348,0.0119805202104872,0.0119869456284759,0.0116341093822417,4.53866012364285
24,0.2,0,253.605029817373,0,-0.129588781859801,0.0164497294487357,0,-0.20956735912618,252.651267697112,-0.0624858665405459,1,1,0.0147449284654676,0.0127437079739242,0.012120361618883,0.0123808236625751,0.0139054158293112,0.0127611953681937,4.59205268692553
25,0.2,0,254.116661063202,0,0.125303412158802,-0.121812328827612,0,0.073062972063088,253.074883529782,-0.10092923957114,1,1,0.0135128515281244,0.0128038721167091,0.0127767917864539,0.011959199269468,0.0124501552298264,0.0121887221055265,4.65729050980517
26,0.2,0,253.539763530272,0,0.0529153496280105,-0.0747290029126014,0,-0.13530294481902,253.004933805243,0.0210543101595665,1,1,0.0109354182112126,0.013055223448031,0.0131746401748463,0.0124380849753465,0.0123632747885169,0.012642228408982,4.64484722085519
27,0.2,0,254.070467049856,0,-0.16433003833466,-0.00249538731712159,0,0.012585577103191,251.965067130647,-0.0215181450272907,1,1,0.0146562176727961,0.0135684187975262,0.0127561861078543,0.0130465661029419,0.0138212415933431,0.0131560554912432,4.94042385201606
28,0.2,0,253.246333097153,0,-0.0653976230879113,0.0221331080569027,0,0.00875697312236137,253.146121205494,0.170060478356407,1,1,0.0114925019039158,0.0135492941075863,0.0131964400872813,0.0123763680201333,0.012385193758657,0.0135248140592154,4.87148293468981
29,0.2,0,253.601484455916,0,-0.0213920695320126,0.0221327152370766,0,-0.125459989471268,252.866173543251,0.0932062390574574,1,1,0.0147452367021732,0.0147308298064087,0.0132488343495584,0.0132140412305994,0.0157292641558964,0.0134805555136288,4.796280953219
30,0.2,0,253.223872329255,0,-0.085409845327727,-0.0535534132042143,0,-0.0811573232551575,251.821582744759,-0.00625902407719384,1,1,0.0150310619444742,0.0140431995828926,0.0135374920010852,0.0129839529876101,0.0142811143082872,0.0146125946371675,5.07564793991211
31,0.2,0,253.493964498414,0,0.010340488604792,-0.0215800834213755,0,-0.133265760356541,252.598228750933,-0.0552859056671733,1,1,0.0126417377847251,0.0143514300353647,0.0130380003671595,0.0140461012820636,0.0135573612724795,0.0130934647184137,4.96444352647612
32,0.2,0,253.697311747377,0,-0.0958647075921202,0.0642698633246314,0,-0.158463368179221,253.414768844288,-0.0263157566032728,1,1,0.01234313224269,0.0142193226073697,0.013456242084283,0.0141511760112163,0.0112348556425559,0.013383030671831,5.09236121922667
33,0.2,0,253.482942951951,0,0.150324140601692,-0.0159618340786057,0,-0.216774848701364,252.675668572471,0.136375127317478,1,1,0.013011638586626,0.0126034037501261,0.0139315672569498,0.013182682689358,0.0166080695450359,0.0140346303302314,5.00931987468428
34,0.2,0,254.07686908484,0,0.0736956187251719,-0.0766713737891219,0,-0.104198626015719,252.838610175412,-0.00121526323778034,1,1,0.0139378601135961,0.0143510100970333,0.0142416069428748,0.0138340610358732,0.0152524606866665,0.0150431707004579,5.10187391794115
35,0.2,0,253.516577282221,0,0.0305040812217728,0.0311761811986277,0,0.304396832017338,252.485917953246,-0.0717215788783114,1,1,0.0139159898296804,0.0146208644392782,0.0139502469956232,0.01443110501945,0.0153313511129374,0.0134730804304543,5.02688308189163
36,0.2,0,253.635372954087,0,-0.115695971676063,-0.138219825560205,0,0.233765366542491,252.762695992735,-0.159816099131207,1,1,0.0143153576013798,0.012877542742737,0.0139785847860971,0.0145062358823408,0.0125886327579747,0.0141129666860495,5.25563094902887
37,0.2,0,253.498773137054,0,0.0773105239953662,0.0696705858348226,0,-0.0659262617069625,252.459873368475,-0.126327796695026,1,1,0.014619416621754,0.0140449127027024,0.0143240885532603,0.014959309999254,0.0140599315484541,0.0149910827460323,5.30719191383102
38,0.2,0,253.676130111503,0,0.03715975739747,0.0517663963350123,0,0.0950129423778488,252.709159321068,-0.258608216704614,1,1,0.0123323252734077,0.0140527521708245,0.0145561595545706,0.0142162910922131,0.0152331038926095,0.0145596515335857,5.15768620842598
39,0.2,0,254.049347912545,0,0.0208881138916093,0.0582448405138638,0,-0.0144132221553779,252.453430683752,0.14151286554655,1,1,0.0134859392209738,0.0141799466353546,0.0145128366956812,0.0141881718832501,0.0155726101313249,0.015746555965499,4.85595528729772
40,0.2,44,252.676006730065,44,24.1989283661004,0.744906397190515,0,-0.100386562195383,251.30118070145,0.104824205300007,1,1,0.0159681804525704,0.0137241380521965,0.0149232775462431,0.014983727986688,0.0164163742100972,0.0149385497202152,5.0839803687226
41,0.2,44,221.195271243681,44,44.0929206310021,9.3277513232149,0,0.0513249255656127,220.337626132068,0.228509164352132,1,1,0.0161713646499123,0.0179569341336103,0.0159090440382878,0.0159680241547633,0.0163060102381168,0.015582989764323,5.19182986966797
42,0.2,44,206.34699393357,44,44.1003513096586,12.2040206645273,0,-0.00514793935377267,205.264040253215,-0.210864842185959,1,1,0.0231295419913672,0.0234396333310164,0.0184827741704522,0.0183937645640451,0.0163644585999047,0.0186816191254426,5.38895834770709
43,0.2,44,200.796856531962,44,43.9896423311536,13.1936815440978,0,-0.0508912303397509,199.783453731767,0.00986959424043982,1,1,0.0308724660158858,0.0283671397804711,0.021535605335896,0.0213118907088508,0.0165005362920301,0.0194255565547417,5.79294007513905
44,0.2,44,199.257460699019,44,44.0498757937857,13.3544858970276,0,0.158040894130369,198.288441884445,0.230078389810361,1,1,0.034324648479439,0.033882905175365,0.0244609352576076,0.024848531134194,0.0217917093807502,0.0231711183771505,6.43635683296527
45,0.2,44,198.675413305804,44,44.0136328706969,13.5304859406133,0,0.0465543150148856,197.773808819253,-0.126233965142204,1,1,0.0374430528534863,0.0392888781306396,0.0278343150715174,0.0278059261456616,0.0251496962659893,0.0239439082234531,6.71533320112835
46,0.2,44,198.033899230655,44,44.1244225305911,13.444704792881,0,0.142782458668028,197.226846026813,0.12574025091154,1,1,0.0414407221019419,0.0403998771149645,0.0307678198658667,0.031009324768689,0.0288022220616984,0.0280408382856726,7.02465974739328
47,0.2,44,198.799878258358,44,43.9662097140614,13.4196646463428,0,-0.138425520334602,197.614355368303,-0.159297741657976,1,1,0.0463758766165255,0.0462139568236601,0.0346907804591993,0.0340960547118637,0.031301250366034,0.0310435625072665,7.67522975000654
48,0.2,44,198.742044265094,44,43.8189375354066,13.6132624101403,0,0.170846875322327,197.602187375121,-0.162054454527483,1,1,0.0471407311415868,0.0492823330332534,0.037909254498988,0.0379108637745607,0.0356860376224035,0.0334496413057238,7.82438785966327
